,id,tracking_number,date,sender_id,sender_zipCode,receiver_id,receiver_address,service,quantity,actual_weight,rate,description,buy_in_store,extra_charge,agent_id
0,26838,ABC-018111,2021-09-05,5249,75040.0,15267,DA NANG,TINH,1,7.4,4.5,loc ensure,57.0,0.0,ABC
1,26835,ABC-018108,2021-09-05,2357,75098.0,12053,SAI GON,SAIGON,1,17.4,3.5,snack chocolate food,0.0,0.0,ABC
2,26834,ABC-018107,2021-09-05,2357,75098.0,2999,SAI GON,SAIGON,1,12.0,3.5,snack food,0.0,0.0,ABC
3,26832,ABC-018105,2021-09-05,7188,75042.0,13168,TIEN GIANG,TINH,1,2.0,4.5,vitamins,0.0,36.0,ABC
4,26831,ABC-018104,2021-09-05,166,79761.0,168,BINH THUAN,TINH,2,94.0,4.5,iphone used imei 359497080983070 snack milk powder ensure soap food hop vitamins gummies nut lotion food home goods,0.0,70.0,ABC
5,26830,ABC-018103,2021-09-05,747,71913.0,4904,SAI GON,SAIGON,1,21.0,3.5,medicated oil chia seed supplement food canned snack dried fruit vitamin it vien quan,50.0,0.0,ABC
6,26829,ABC-018102,2021-09-05,8961,75042.0,14941,KHANH HOA,TINH,1,6.5,4.5,vitamin syrup,0.0,0.0,ABC
7,26828,ABC-018101,2021-09-05,8961,75042.0,14940,KHANH HOA,TINH,1,6.0,4.5,vitamins,0.0,0.0,ABC
8,26827,ABC-018100,2021-09-05,9285,73099.0,15263,TIEN GIANG,TINH,1,10.5,4.5,food hop1 gia vi vitamin gummy hand sanitizer,0.0,0.0,ABC
9,26826,NEW-000783,2021-09-04,9284,68504.0,15262,SAI GON,SAIGON,1,16.5,5.0,lo toothpaste vitamin c snack ho vitamin,0.0,0.0,NEW
10,26825,ABC-018099,2021-09-04,717,75044.0,13491,SAI GON,SAIGON,1,6.5,3.5,lo medicated oil vitamins,100.0,0.0,ABC
11,26824,ABC-018098,2021-09-04,717,75044.0,2008,SAI GON,SAIGON,1,7.4,3.5,vitamins gummies,0.0,6.0,ABC
12,26821,ABC-018097,2021-09-04,3328,75040.0,4448,SAI GON,SAIGON,1,16.5,3.5,loc ensure snack vitamins,57.0,0.0,ABC
13,26816,ABC-018095,2021-09-04,2168,75035.0,15255,THAI BINH,TINH,1,4.5,4.5,vitamins soap medicated oil,5.0,0.0,ABC
14,26815,ABC-018094,2021-09-04,2168,75035.0,2733,HUE,TINH,1,3.0,4.5,medicated oil vitamins snack,5.0,0.0,ABC
15,26813,ABC-018093,2021-09-04,2168,75035.0,2806,SAI GON,SAIGON,1,11.2,3.5,clothes snack supplement vitamins shoes,0.0,0.0,ABC
16,26809,ABC-018092,2021-09-04,9274,75040.0,15250,AN GIANG,TINH,1,25.0,4.5,toothpaste pack mat ong vitamins snack salonpas giftset ,0.0,6.0,ABC
17,26804,ABC-018091,2021-09-04,4844,75094.0,6790,SAI GON,SAIGON,1,22.2,3.5,food snack food hop supplement oatmeal bengay,0.0,0.0,ABC
18,26803,NGO-000226,2021-09-04,5519,68116.0,13397,KHANH HOA,TINH,1,13.9,6.0,vitamin vitamin doi sandals hat medicated oil,0.0,0.0,NGO
19,26801,VNC-000107,2021-09-04,9269,75044.0,15244,SAI GON,SAIGON,18,714.0,3.5,supplement  lotion duong da toys clothes snackmilk powder rua mat,0.0,0.0,VNC
20,26800,ABC-018090,2021-09-04,9268,75040.0,15243,VINH LONG,TINH,1,14.7,4.5,medicated oil milk powder ensure it giftset do trang rang food hop vitamins,0.0,0.0,ABC
21,26796,VNC-000103,2021-09-04,7686,75040.0,15239,SAI GON,SAIGON,1,66.3,3.5,supplement snack shampoo khan tam  mem,0.0,0.0,VNC
22,26794,ABC-018089,2021-09-04,9264,75044.0,15237,DAK LAK,TINH,1,5.5,4.5,vitamins,57.0,0.0,ABC
23,26793,ABC-018088,2021-09-04,5555,75708.0,14411,SAI GON,SAIGON,2,90.0,3.5,lo medicated oil snack clothes vitamins shoes toys,68.0,0.0,ABC
24,26792,ABC-018087,2021-09-04,7500,75044.0,11445,SAI GON,SAIGON,1,16.5,3.5,laptop lenovo pf31kell vitamin clothes shoes  medicated oil,0.0,60.0,ABC
26,26789,QUY-006753,2021-09-04,4288,22042.0,5902,SAI GON,SAIGON,1,9.1,4.0,vitamin,0.0,27.6,QUY
27,26788,NEW-000782,2021-09-04,9263,68333.0,15236,SAI GON,SAIGON,1,45.0,5.0,bịch snack ho hủ thuốc tylenol hủ bột cam hộp bột vitamin c hộp airbone vitamin c máy thử tiểu đường hủ kẹo airbone vitamin c chai sữa tắm hộp phô mai đầu bò cái giỏ sách tay,0.0,0.0,NEW
28,26787,ABC-018085,2021-09-04,9262,75040.0,15235,SAI GON,SAIGON,1,27.45,3.5,milk powder snack vitamins,114.0,0.0,ABC
29,26786,ABC-018084,2021-09-04,8277,75040.0,12935,SAI GON,SAIGON,1,33.85,3.5,snack vitamin,0.0,0.0,ABC
30,26785,ABC-018083,2021-09-04,9261,75040.0,15234,DA NANG,TINH,1,6.0,4.5,vitamins tang,0.0,12.0,ABC
31,26784,ABC-018082,2021-09-04,9261,75040.0,15233,SAI GON,SAIGON,1,9.15,3.5,food vitamins,0.0,3.0,ABC
32,26783,NEW-000781,2021-09-04,6068,68901.0,8844,BRVT,TINH,1,35.0,6.0,medical mask sausage cereal non thuoc salonpas vitamin c,0.0,0.0,NEW
33,26781,NEW-000780,2021-09-04,6068,68901.0,8844,BRVT,TINH,1,49.0,6.0,clothes khan ham cereal lotion soap toothpaste but chi vitamin c,0.0,0.0,NEW
34,26780,NEW-000779,2021-09-04,6591,68901.0,15232,BINH DUONG,TINH,1,8.0,6.0,lo medicated oil snack ho tylenol bengay lipstick,0.0,0.0,NEW
35,26779,QUY-006752,2021-09-04,6765,16148.0,10094,DONG NAI,TINH,1,29.85,5.0,medicated oil supplement vitamin snack nhan kho lotion boi mat clothes,0.0,0.0,QUY
36,26778,ABC-018080,2021-09-04,5494,75044.0,15231,HUE,TINH,1,18.0,4.5,juice snack vitamins medicated oil ca medicated oil,0.0,0.0,ABC
37,26777,QUY-006751,2021-09-04,4445,22044.0,15230,TAY NINH,TINH,1,16.4,5.0,milk powder vitamin snack,0.0,2.0,QUY
38,26776,QUY-006750,2021-09-04,9260,22042.0,15229,SAI GON,SAIGON,1,15.45,4.0,vitamin,0.0,40.35,QUY
39,26775,ABC-018079,2021-09-04,9259,75252.0,15228,HUNG YEN,TINH,1,1.0,4.5,do ment btshirts dam ,42.5,0.0,ABC
40,26774,NEW-000778,2021-09-04,7761,68516.0,15227,HUE,TINH,1,4.0,6.0,vitamin medicated oil chong nang,0.0,0.0,NEW
41,26772,ABC-018077,2021-09-04,7387,75042.0,11244,BRVT,TINH,1,18.3,4.5,hu snack medicated oil ca vitamin colagen,0.0,0.0,ABC
42,26770,ABC-018076,2021-09-04,9144,75040.0,15022,TIEN GIANG,TINH,1,14.0,4.5,vitamin medicated oil ca hu snack,0.0,0.0,ABC
43,26769,ABC-018075,2021-09-04,9257,75044.0,15224,SAI GON,SAIGON,1,21.6,3.5,colagen gluco medicated oil ca snack,0.0,0.0,ABC
44,26761,ABC-018073,2021-09-04,9252,76306.0,15218,BINH THUAN,TINH,1,15.8,4.5,vitamin lon ensure chai medicated oil,0.0,6.0,ABC
45,26760,QUY-006749,2021-09-04,9251,22003.0,15217,DONG NAI,TINH,1,22.15,5.0,soap snack  food canned vitamin,0.0,0.0,QUY
46,26759,ABC-018072,2021-09-04,419,75044.0,5513,SAI GON,SAIGON,1,35.15,3.5,vitamin vien sui salonpas snack chip dried fruit,0.0,0.0,ABC
47,26758,NEW-000777,2021-09-03,5485,68503.0,11768,THANH HOA,TINH,1,10.0,6.0,ensure vitamin vitamin c medicated oil,0.0,21.0,NEW
48,26757,NEW-000776,2021-09-03,5485,68503.0,7895,THANH HOA,TINH,1,24.5,6.0,lo span ensure vitamin c vitamin thong mui,0.0,0.0,NEW
49,26755,VNC-000094,2021-09-03,789,75040.0,800,SAI GON,SAIGON,2,71.6,2.95,toothpastesnacksupplement,0.0,0.0,VNC
50,26754,ABC-018071,2021-09-03,2845,75044.0,15216,TIEN GIANG,TINH,1,7.5,4.5,loc ensure,57.0,0.0,ABC
51,26753,ABC-018070,2021-09-03,2845,75044.0,15215,SAI GON,SAIGON,1,7.5,3.5,loc entrust,60.0,0.0,ABC
52,26752,ABC-018069,2021-09-03,5557,75044.0,15214,SAI GON,SAIGON,1,29.3,3.5,snack vitamins gummies medicated oil supplement syrup,25.0,0.0,ABC
53,26751,ABC-018068,2021-09-03,5557,75044.0,14165,SAI GON,SAIGON,1,21.3,3.5,oatsmeal medicated oil vitamins supplement gummies snack,0.0,0.0,ABC
54,26750,ABC-018067,2021-09-03,5557,75044.0,8001,SAI GON,SAIGON,1,21.5,3.5,loc ensure syrup supplement 1medicated oil trang vitamins gummies,57.0,0.0,ABC
55,26740,VNC-000086,2021-09-03,789,75040.0,800,SAI GON,SAIGON,7,191.0,3.5,supplement  toothpaste  milk powder thuc pham toothbrush  khan tam ,0.0,0.0,VNC
56,26739,ABC-018066,2021-09-03,8068,75287.0,12548,SAI GON,SAIGON,1,3.7,3.5,vitamins gummies tang,0.0,0.0,ABC
57,26733,ABC-018065,2021-09-03,8480,75002.0,14166,SAI GON,SAIGON,1,20.19,3.5,milk powder lotion hand sanitizer soap toothpaste,57.0,0.0,ABC
58,26730,ABC-018064,2021-09-03,6059,75042.0,15200,SAI GON,SAIGON,1,25.5,3.5,supplement hop snack oatsmeal vitamins lo spam perfume watch re tien,0.0,10.0,ABC
59,26729,QUY-006748,2021-09-03,1766,22044.0,15199,SAI GON,SAIGON,1,15.3,4.0,sausages phomai vitamin c food hop,0.0,0.0,QUY
60,26728,ABC-018063,2021-09-03,8471,75407.0,13306,SAI GON,SAIGON,1,28.2,3.5,milk powder bich snack,0.0,0.0,ABC
61,26727,ABC-018062,2021-09-03,9240,75067.0,15198,SAI GON,SAIGON,1,20.5,3.5,clothes milk powder ensure vitamins medicated oil  gummies salonpas,0.0,0.0,ABC
62,26725,ABC-018061,2021-09-03,1939,75235.0,15196,CANADA,INT,1,6.0,10.0,clothes dong trung ha thtshirts,0.0,10.0,ABC
63,26723,ABC-018060,2021-09-03,9238,75093.0,15194,SAI GON,SAIGON,1,8.5,3.5,tylenol,0.0,36.0,ABC
65,26721,ABC-018058,2021-09-03,566,75042.0,15192,SAI GON,SAIGON,1,21.25,3.5,hu snack c vitamins juice perlipstickal stuff,0.0,0.0,ABC
66,26720,ABC-018057,2021-09-03,6561,75074.0,15191,SAI GON,SAIGON,1,27.85,3.5,vitamins gummies shampoo snack,0.0,0.0,ABC
67,26719,ABC-018056,2021-09-03,6560,75044.0,15190,SAI GON,SAIGON,1,19.0,3.5,collagen gummies glucosamine snack,0.0,0.0,ABC
68,26717,ABC-018054,2021-09-03,663,75074.0,9701,BINH THUAN,TINH,1,35.25,4.5,lon milk powder shoes sandals toys snack vitamin,0.0,0.0,ABC
69,26714,ABC-018051,2021-09-03,2129,75181.0,2679,SAI GON,SAIGON,2,75.0,3.5,food hop snack,0.0,0.0,ABC
70,26713,ABC-018050,2021-09-03,9236,75048.0,15186,LONG AN,TINH,1,6.6,4.5,snack ho creams medicated oil vitamins,0.0,6.0,ABC
71,26712,ABC-018049,2021-09-03,9236,75048.0,15185,SAI GON,SAIGON,1,5.0,3.5,creams vitamins,0.0,3.0,ABC
72,26711,VNC-000079,2021-09-02,789,75040.0,15102,PHU YEN,TINH,1,33.5,4.5,supplement toothpaste snack deo tra mat ong,0.0,0.0,VNC
73,26709,ABC-018048,2021-09-02,314,75042.0,319,DONG NAI,TINH,1,27.0,4.5,vitamin food giftset entrust,60.0,0.0,ABC
74,26706,VNC-000075,2021-09-02,789,75040.0,800,SAI GON,SAIGON,3,135.5,3.5,supplement toothpaste  empty ensuretle  toothbrush clothes  snack,0.0,0.0,VNC
75,26699,ABC-018047,2021-09-02,9089,75042.0,15175,SAI GON,SAIGON,1,10.6,3.5,vitamin loc medicated oil,0.0,0.0,ABC
76,26697,ABC-018046,2021-09-02,6030,75040.0,8777,SAI GON,SAIGON,1,30.7,3.5,hop toys food hop hop supplement pack snack vitamin sunglasses perlipstickal stuff,20.0,0.0,ABC
77,26690,QUY-006747,2021-09-02,7619,22044.0,12170,SAI GON,SAIGON,1,15.8,4.0,vitamin tuong ot food,0.0,0.0,QUY
78,26686,VNC-000060,2021-09-02,9221,75080.0,15166,SAI GON,SAIGON,1,20.8,3.5,snack clothes toothbrush  thu nhoi bong sach,0.0,0.0,VNC
79,26685,VNC-000059,2021-09-02,5757,75048.0,15165,BRVT,TINH,1,15.6,4.5,milk powder similac,0.0,0.0,VNC
80,26678,ABC-018041,2021-09-02,3757,75040.0,5087,SAI GON,SAIGON,1,20.0,3.5,6vitamins snack syrup,0.0,12.0,ABC
82,26676,NEW-000775,2021-09-02,8027,68527.0,15158,HUE,TINH,1,16.5,6.0,vitamin c bladder control vitamin pain relief patch salonpas snack ho,0.0,0.0,NEW
83,26675,ABC-018040,2021-09-02,8297,75089.0,12967,DONG THAP,TINH,1,14.7,4.5,case milk powder,114.0,0.0,ABC
85,26673,NEW-000774,2021-09-02,9219,68503.0,15156,SAI GON,SAIGON,1,5.0,5.0,vitamin hop vien xui,0.0,0.0,NEW
87,26671,VNC-000051,2021-09-02,9217,75035.0,15154,SAI GON,SAIGON,2,48.0,3.5,thuc pham vitamin  snack,0.0,0.0,VNC
88,26666,ABC-018038,2021-09-02,5203,76310.0,15150,SAI GON,SAIGON,1,7.85,3.5,milk powder  medicated oil  food  vitamin 5 medicated oil boi ,27.0,0.0,ABC
89,26665,ABC-018037,2021-09-02,3202,75044.0,4346,SAI GON,SAIGON,1,7.5,3.5,lon milk powder,57.0,0.0,ABC
90,26664,ABC-018036,2021-09-02,3202,75044.0,4270,SAI GON,SAIGON,1,5.5,3.5,dung  milk powder  hat,0.0,0.0,ABC
91,26663,QUY-006746,2021-09-02,9213,20902.0,15149,TIEN GIANG,TINH,1,45.7,5.0,watch  shoes  snack vitamin milk powder ensure bengay backpack,0.0,10.0,QUY
92,26662,ABC-018035,2021-09-02,2788,75025.0,15148,SAI GON,SAIGON,1,13.0,3.5,food hop snack vitamin,0.0,0.0,ABC
93,26661,ABC-018034,2021-09-02,2788,75025.0,15147,SAI GON,SAIGON,1,22.25,3.5,snack food hop vitamin,0.0,0.0,ABC
94,26660,QUY-006745,2021-09-02,1447,22151.0,15146,SAI GON,SAIGON,1,29.6,4.0,food vitamin cafe snack milk powder,0.0,0.0,QUY
95,26659,QUY-006744,2021-09-02,9212,22003.0,15145,HA NOI,TINH,1,11.4,5.0,milk powder ensure vitamin,0.0,6.0,QUY
96,26658,QUY-006743,2021-09-02,9211,22042.0,15144,BRVT,TINH,1,9.8,5.0,vitamin medicated oil tshirts nguc milk powder ensure,0.0,7.0,QUY
97,26657,ABC-018033,2021-09-02,98,75048.0,12138,THANH HOA,TINH,1,21.75,4.5,vitamin 1tra xanh  2snack   nuoc ngot,0.0,0.0,ABC
98,26656,QUY-006742,2021-09-02,9210,20903.0,15143,SAI GON,SAIGON,1,22.9,4.0,vitamin snack bengay,0.0,36.0,QUY
99,26655,QUY-006741,2021-09-02,9209,22044.0,15142,BEN TRE,TINH,1,16.05,5.0,clothes vitamin toothpaste medicated oil,0.0,0.0,QUY
100,26654,ABC-018032,2021-09-02,7620,75024.0,11662,SAI GON,SAIGON,1,28.05,3.5,vitamin  tang  giftset sample  food hop  9lotion  pack toothpaste  do lot  milk powder  siro phu nu,0.0,0.0,ABC
101,26653,ABC-018031,2021-09-02,2530,75040.0,15141,SAI GON,SAIGON,1,15.9,3.5,vitamin  loai it vien  medicated oil  milk powder ensure  food hop  milk powder ensure,15.0,0.0,ABC
