id,tracking_number,date,sender_id,sender_zipCode,receiver_id,receiver_address,service,quantity,actual_weight,rate,description,buy_in_store,extra_charge,agent_id
26838,ABC-018111,9/5/2021,5249,75040,15267,DA NANG,TINH,1,7.4,4.5,1 LOC ENSURE,57,,ABC
26835,ABC-018108,9/5/2021,2357,75098,12053,SAI GON,SAIGON,1,17.4,3.5,"SNACK, CHOCOLATE, FOOD  ",,,ABC
26834,ABC-018107,9/5/2021,2357,75098,2999,SAI GON,SAIGON,1,12,3.5,"SNACK, FOOD ",,,ABC
26832,ABC-018105,9/5/2021,7188,75042,13168,TIEN GIANG,TINH,1,2,4.5,3 VITAMINS ,,36,ABC
26831,ABC-018104,9/5/2021,166,79761,168,BINH THUAN,TINH,2,94,4.5,"1 IPHONE 8 USED (IMEI# 359497080983070), SNACK, MILK POWDER ENSURE, SOAP, FOOD HOP, VITAMINS, GUMMIES, NUT, LOTION, FOOD, HOME GOODS ",,70,ABC
26830,ABC-018103,9/5/2021,747,71913,4904,SAI GON,SAIGON,1,21,3.5,"1 MEDICATED OIL, 2 CHIA SEED, 2 SUPPLEMENT, 2 FOOD CANNED, 3 SNACK, 1 DRIED FRUIT, VITAMIN IT VIEN, 1 QUAN",50,,ABC
26829,ABC-018102,9/5/2021,8961,75042,14941,KHANH HOA,TINH,1,6.5,4.5,"6 VITAMIN, 1 SYRUP",,,ABC
26828,ABC-018101,9/5/2021,8961,75042,14940,KHANH HOA,TINH,1,6,4.5,VITAMINS ,,,ABC
26827,ABC-018100,9/5/2021,9285,73099,15263,TIEN GIANG,TINH,1,10.5,4.5,"8 FOOD HOP,1 GIA VI, 6 VITAMIN, 1 GUMMY, HAND SANITIZER",,,ABC
26826,NEW-000783,9/4/2021,9284,68504,15262,SAI GON,SAIGON,1,16.5,5,"3 LO TOOTHPASTE, 1 VITAMIN C, 2 SNACK HO, 6 VITAMIN",,,NEW
26825,ABC-018099,9/4/2021,717,75044,13491,SAI GON,SAIGON,1,6.5,3.5,"2 LO MEDICATED OIL, VITAMINS ",100,,ABC
26824,ABC-018098,9/4/2021,717,75044,2008,SAI GON,SAIGON,1,7.4,3.5,"VITAMINS, GUMMIES ",,6,ABC
26821,ABC-018097,9/4/2021,3328,75040,4448,SAI GON,SAIGON,1,16.5,3.5,"1 LOC ENSURE, 2 SNACK, 4 VITAMINS ",57,,ABC
26816,ABC-018095,9/4/2021,2168,75035,15255,THAI BINH,TINH,1,4.5,4.5,"VITAMINS, SOAP, MEDICATED OIL, ",5,,ABC
26815,ABC-018094,9/4/2021,2168,75035,2733,HUE,TINH,1,3,4.5,"MEDICATED OIL, vitamins, SNACK",5,,ABC
26813,ABC-018093,9/4/2021,2168,75035,2806,SAI GON,SAIGON,1,11.2,3.5,"CLOTHES, SNACK, SUPPLEMENT, vitamins, SHOES",,,ABC
26809,ABC-018092,9/4/2021,9274,75040,15250,AN GIANG,TINH,1,25,4.5,"1 TOOTHPASTE, 2 PACK  MAT ONG, 8 VITAMINS, 1 SNACK, SALONPAS, 6 GIFTSET ,   ",,6,ABC
26804,ABC-018091,9/4/2021,4844,75094,6790,SAI GON,SAIGON,1,22.2,3.5,"FOOD, SNACK, FOOD HOP, SUPPLEMENT, OATMEAL, BENGAY",,,ABC
26803,NGO-000226,9/4/2021,5519,68116,13397,KHANH HOA,TINH,1,13.9,6,"5 VITAMIN/ vitamin, 2 doi SANDALS, 1 hat MEDICATED OIL",,,NGO
26801,VNC-000107,9/4/2021,9269,75044,15244,SAI GON,SAIGON,18,714,3.5,"SUPPLEMENT , LOTION DUONG DA ,TOYS ,CLOTHES ,SNACK,MILK POWDER RUA MAT.",,,VNC
26800,ABC-018090,9/4/2021,9268,75040,15243,VINH LONG,TINH,1,14.7,4.5,"MEDICATED OIL, MILK POWDER ENSURE, IT GIFTSET, DO TRANG RANG, FOOD HOP, VITAMINS ",,,ABC
26796,VNC-000103,9/4/2021,7686,75040,15239,SAI GON,SAIGON,1,66.3,3.5,"SUPPLEMENT ,SNACK ,SHAMPOO ,KHAN TAM , MEM",,,VNC
26794,ABC-018089,9/4/2021,9264,75044,15237,DAK LAK,TINH,1,5.5,4.5,4 VITAMINS,57,,ABC
26793,ABC-018088,9/4/2021,5555,75708,14411,SAI GON,SAIGON,2,90,3.5,"2 LO MEDICATED OIL, SNACK, CLOTHES, VITAMINS, SHOES, TOYS ",68,,ABC
26792,ABC-018087,9/4/2021,7500,75044,11445,SAI GON,SAIGON,1,16.5,3.5,"1 LAPTOP LENOVO (PF31KELL), VITAMIN, CLOTHES, SHOES   ,   MEDICATED OIL",,60,ABC
26791,ABC-018086,9/4/2021,2166,75094,2731,SAI GON,SAIGON,1,23,3.5,,100,18,ABC
26789,QUY-006753,9/4/2021,4288,22042,5902,SAI GON,SAIGON,1,9.1,4,VITAMIN,,27.6,QUY
26788,NEW-000782,9/4/2021,9263,68333,15236,SAI GON,SAIGON,1,45,5,4 bịch SNACK ho. 6 hủ thuốc tylenol. 3 hủ bột cam. 3 hộp bột vitamin C. 2 hộp airbone vitamin C. 1 máy thử tiểu đường. 4 hủ kẹo airbone vitamin C. 2 chai sữa tắm. 2 hộp phô mai đầu bò. 1 cái giỏ sách tay,,,NEW
26787,ABC-018085,9/4/2021,9262,75040,15235,SAI GON,SAIGON,1,27.45,3.5,"12 MILK POWDER, SNACK, VITAMINS",114,,ABC
26786,ABC-018084,9/4/2021,8277,75040,12935,SAI GON,SAIGON,1,33.85,3.5,"SNACK, VITAMIN",,,ABC
26785,ABC-018083,9/4/2021,9261,75040,15234,DA NANG,TINH,1,6,4.5,"VITAMINS,  TANG",,12,ABC
26784,ABC-018082,9/4/2021,9261,75040,15233,SAI GON,SAIGON,1,9.15,3.5,"FOOD, VITAMINS",,3,ABC
26783,NEW-000781,9/4/2021,6068,68901,8844,BRVT,TINH,1,35,6,"MEDICAL MASK, SAUSAGE, CEREAL, NON, THUOC, SALONPAS, VITAMIN C",,,NEW
26781,NEW-000780,9/4/2021,6068,68901,8844,BRVT,TINH,1,49,6,"CLOTHES, KHAN, HAM, CEREAL, LOTION, SOAP, TOOTHPASTE, BUT CHI, VITAMIN C, ",,,NEW
26780,NEW-000779,9/4/2021,6591,68901,15232,BINH DUONG,TINH,1,8,6,"1 LO MEDICATED OIL, 1 SNACK HO, 4 TYLENOL, 1 BENGAY, 1 LIPSTICK",,,NEW
26779,QUY-006752,9/4/2021,6765,16148,10094,DONG NAI,TINH,1,29.85,5,"MEDICATED OIL, SUPPLEMENT, vitamin, SNACK, nhan kho, LOTION boi mat, CLOTHES",,,QUY
